"name"	"point"	"route_str"
"Drug dealer"	"250"	"awp_platform,awp_ramp,main_drag"
"Beginners suffering"	"250"	"section_ramp_tip,section_ramp,t2_left_wing,awp_platform"
"Pounce"	"250"	"jail_floor_02,main_ramp,middle_awp_platform"
"TipTip"	"250"	"t2_left_window_tip,main_drag,main_drag,t2_right_window_tip"
"WeakWings"	"250"	"nlo_platform,keith_ramp,t2_left_wing,t2_right_wing,t2_tower_platform"
"fe rari"	"250"	"spawn_roof_water,main_ramp,long_ramp,starlight"
"Wedge return"	"250"	"center_wedge_platform,main_wings,main_drag,through_t2_tower,behind_t2_tower_wedge,t2_big_water_ramp,center_wedge_platform"
"Ukihara"	"250"	"diddy_platform,ground_ramp_reverse,triomino2,throw_middle_awp,fish_ramp,behind_t2_tower_wedge,t2_right_wing"
"Lets all love lain"	"250"	"t2_floor,t2_wing,t2_through,turtle_floor"
"Yakov"	"250"	"turtle_floor,snip_ramp,cage_lower_ramp,cage_platform"
"Xtml"	"250"	"turtle_floor,turtle_aside_ramp,a_ramp,snip_ramp,turtle_aside_ramp,subway_ramp,t2_water"
"Double Insertion"	"250"	"fish_booster,awp_ramp,throw_middle_awp,triomino1,middle_awp_platform"
"Awp Return"	"250"	"fish_booster,awp_ramp,throw_middle_awp,fish_platform"
"NeedSpeed"	"250"	"fish_booster,awp_ramp,t2_big_hole_left,t2_left_window,through_t2_tower,awp_ramp,awp_platform"
"Climb On Sign"	"250"	"fish_booster,awp_ramp,t2_left_wing,ski_sign"
"Telepad Strech"	"250"	"fish_booster,awp_ramp,main_blunt_ramp,telepad"
"Walk Around"	"250"	"fish_booster,awp_ramp,main_blunt_ramp,main_blunt_ramp,awp_ramp,fish_platform"
"Luscha"	"250"	"fish_booster_middle,ground_ramp_reverse,awp_ramp,main_blunt_ramp,ski_sign"
"Karasik"	"250"	"fish_booster_bigger,right_wedge,fish_ramp,fish_hook_wedge,tower_middle_plarform"
"Interstellar"	"250"	"mario_room_teleport,nlo_platform"
"betry"	"250"	"grob_booster,t2_big_water_ramp,t2_left_wing,t2_left_box_2"
"Alxitector"	"250"	"turtle_boost,turtle_inner_ramp,turtle_small_ramp_2,t2_wing,prison_floor"
"Anaconda"	"250"	"turtle_boost,t2_through,turtle_small_ramp_2,t2_floor"
"Pro Zolomon"	"275"	"jail_floor_02,main_ramp,main_ramp,t_spawn_hole_front,t_spawn_hole_back,gun_room"
"Easy Cyplenkov"	"300"	"tower_top,left_wedge,middle_wing,ski_sign"
"Hard Zyzz"	"300"	"tower_platform,banana_ramp,jail_wall_02"
"The Delf"	"300"	"tower_top,banana_ramp,t1_ladder"
"Gunpowder"	"300"	"jail_floor_02,main_ramp,t2_left_wing,t2_right_wing,main_drag,gun_room_ramp,gun_room"
"T1 Hop"	"300"	"t_spawn,t1_right_platform"
"Beyblade"	"300"	"tower_platform,banana_ramp,awp_platform,t2_left_wing,t2_tower_platform"
"Horse Shit Rise"	"300"	"ct_spawn,main_ramp,main_drag,through_t2_tower,fish_ramp,healbot_platform"
"Gun Return"	"300"	"gun_room,gun_room_ramp,through_t2_tower,t2_left_wing,main_drag,gun_room_ramp,gun_room"
"Easy Rasta Rise"	"300"	"tower_platform,banana_ramp,through_t2_front_left,through_t2_back_left,t2_left_wing,main_ramp,jail_floor_02"
"Rise"	"300"	"tower_platform,banana_ramp,middle_wing,t2_tower_platform"
"Spawn Wrap from spawn"	"300"	"t_spawn,rear_spawn_ramp,behind_main_ramp_trigger,rear_spawn_ramp"
"Strafe Sign Rise"	"300"	"t2_tower_platform,awp_ramp,fish_hook_wedge,tower_sign"
"Salamandrs adventure"	"300"	"long_ramp_slant,kevin_ramp,keith_ramp,t2_left_wing,middle_wing,left_wedge,elevator_mid_entrance"
"Stormwind"	"300"	"healbot_sign,t2_left_wing,awp_ramp,fish_ramp,behind_t2_tower_wedge,t2_right_wing"
"Dzhans Rise "	"300"	"jail_floor_02,main_ramp,ground_teleporter,jail_floor_02,triomino2,jail_floor_02"
"evvvai bostik"	"300"	"jail_floor_02,spawn_roof_booster,sriracha,jail_wall_02"
"Healing"	"300"	"jail_floor_02,main_ramp,main_drag,through_t2_tower,t2_left_wing,healbot_sign"
"Seven day"	"300"	"spawn_roof_water,spawn_roof_booster,left_wedge,behind_mario_tower,elevator_mid_entrance,elevator,tower_run_up_w"
"Nlo Centrum"	"300"	"nlo_platform,keith_ramp,t2_left_wing,t2_right_wing,tower_box"
"Boris Want Fish"	"300"	"fish_hook_wedge,fish_hook_wedge,fish_ramp,fish_platform"
"Melisa"	"300"	"t2_left_window_tip,through_t2_tower,under_blunt,t2_center_down_ramp,awp_ramp,throw_middle_awp"
"Moeru"	"300"	"t1_bashnya,rear_spawn_ramp,t1_middle_hole,t1_middle_ramp_lower,t1_middle_hole,t1_middle_ramp_lower,gun_room"
"de3"	"300"	"nlo_platform,long_ramp,w_bezdna_lower_ramp,behind_spawn,main_ramp,main_ramp,t_spawn"
"fel"	"300"	"center_wedge_platform,main_wings,main_drag,t2_center_platform,through_t2_tower,fish_ramp,fish_hook_wedge,elevator_mid_tip"
"Mini Boulder"	"300"	"t2_tower_platform,t2_big_water_ramp,t_scout_pad"
"ghettos king"	"300"	"mini_ramp_spine,ramp_horn,t1_right_rail"
"Escape to platform"	"300"	"jail_floor_02,main_ramp,t2_big_water_ramp,north_east_booster_platform"
"Ring"	"300"	"ring,main_ramp,right_wedge,long_ramp,ct_spawn_teleporter"
"Left Right At Home"	"300"	"strafes_platform,main_ramp,faucet_ramp,main_ramp,faucet_ramp,main_ramp,prison_floor"
"Pertuh"	"300"	"top_ramp_tip,top_mini_ramp,top_mini_ramp,pillar_floor"
"Lagger jump "	"300"	"t2_ladder,brow_ramp,t2_high_water"
"Undercover"	"300"	"behind_t2_tower_wedge,under_blunt,tower_base_water"
"Elevator Parkour"	"300"	"elevator_exit,tower_platform,idk,tower_top"
"Fish infusion"	"300"	"fish_booster_bigger,main_ramp,behind_main_ramp_trigger,rear_spawn_ramp,behind_main_ramp_trigger,main_ramp,t2_tower_platform"
"Escape From sea"	"300"	"fish_booster_bigger,behind_t2_tower_wedge,through_t2_tower,gun_room_ramp,gun_room"
"Monofrukt"	"300"	"fish_booster_middle,throw_middle_awp,under_blunt,t2_center_down_ramp,main_blunt_ramp,t2_center_down_ramp,under_blunt,center_wedge_platform"
"Everest"	"300"	"fish_booster_middle,fish_ramp,healbot_ramp,main_ramp,jail_floor_02"
"Tryoith geng"	"300"	"grob_booster,long_ramp,nlo_platform,healbot_ramp,awp_platform"
"Long Wrap from spawn"	"325"	"t_spawn,main_ramp,long_ramp,behind_long_ramp,long_ramp"
"Alcatraz"	"350"	"gun_room,gun_room_ramp,through_t2_tower,t2_left_wing,main_drag,through_t2_tower,long_ramp,rear_spawn_ramp,behind_main_ramp_trigger,main_ramp,awp_ramp,tower_sign"
"Double Zolomon"	"350"	"jail_floor_02,main_ramp,main_ramp,t_spawn_hole_front,main_ramp,main_ramp,t_spawn_hole_front,gun_room"
"Facade"	"350"	"jail_wall_02,rear_spawn_ramp,main_ramp,through_t2_front_right,through_t2_back_right,behind_t2_tower_wedge,fish_ramp,fish_hook_wedge,tower_sign"
"Wrath"	"350"	"long_ramp_slant,kevin_ramp,keith_ramp,t2_tower_platform"
"eXydos"	"350"	"gun_room,gun_room_ramp,through_t2_tower,t2_left_wing,behind_t2_tower_wedge,fish_ramp,fish_hook_wedge,elevator_mid_entrance"
"Venox & Porn lovestory"	"350"	"tower_platform,banana_ramp,left_wedge,middle_wing,main_blunt_ramp,t2_right_wing,fish_ramp,fish_hook_wedge,elevator_mid_entrance"
"Drop and Rise"	"350"	"diddy_platform,fish_hook_wedge,elevator_mid_entrance"
"Dropkick"	"350"	"diddy_platform,fish_hook_wedge,left_wedge,center_wedge_platform"
"Double Snowman gap"	"350"	"jail_floor_02,main_ramp,main_ramp,t_spawn_water,main_ramp,main_ramp,t_spawn_water"
"Sneaky Spawn Roof"	"350"	"tower_platform,banana_ramp,main_blunt_ramp,rear_spawn_ramp,main_ramp,main_ramp,spawn_roof_water"
"Eight wood"	"350"	"ct_spawn,main_ramp,triomino2,main_blunt_ramp,long_ramp,telepad_derevo"
"Centrum to hole"	"350"	"jail_floor_02,main_ramp,t2_left_wing,through_t2_back_left,t2_left_hole,t2_tower_platform"
"Tumbleweed"	"350"	"jail_floor_02,main_ramp,triomino1,throw_middle_awp,awp_tower_tip"
"Kieru"	"350"	"nlo_platform,kevin_ramp,main_drag,through_t2_tower,under_blunt,t2_center_down_ramp,awp_ramp,elevator_mid_entrance"
"Retro Spawn"	"350"	"t_spawn,main_ramp,main_blunt_ramp,main_ramp,t_spawn"
"reyteds redie route"	"350"	"ct_spawn,main_ramp,middle_wing,left_wedge,fish_hook_wedge,fish_ramp,behind_t2_tower_wedge,long_ramp,side_spawn_lower_platform"
"Man walk"	"350"	"ct_spawn,main_ramp,middle_wing,left_wedge,elevator_mid_tip"
"Falos Return"	"350"	"tower_floor,faucet_ramp,faucet_ramp,tower_floor"
"Turtle Hop"	"350"	"turtle_big_floor,turtle_small_ramp_2,turtle_floor,turtle_platform,turtle_small_floor"
"Window breaker"	"350"	"fish_booster_middle,t2_big_hole_left,t2_left_window,main_drag,main_wings,t2_tower_platform"
"Jujuka"	"350"	"fish_booster_bigger,t2_left_wing,ring,triomino2,tower_middle_ramp,mario_room_teleport"
"Vimer"	"350"	"fish_booster_middle,throw_middle_awp,awp_ramp,ground_ramp,awp_ramp,awp_tower_tip"
"Straxa net"	"350"	"fish_booster_bigger,left_wedge,ring,t1_middle_hole,t1_middle_ramp_lower,ring,triomino2,healbot_platform"
"Turtle Spin"	"375"	"tower_lower_box_1,ground_ramp,ground_ramp_reverse,tower_lower_box_2"
"Banana return"	"400"	"tower_platform,banana_ramp,banana_ramp,tower_platform"
"Yet another Rise"	"400"	"tower_platform,banana_ramp,main_blunt_ramp,healbot_platform"
"Zyzz v2"	"400"	"tower_top,banana_ramp,section_ramp,jail_wall_02"
"Jail Strafe Return"	"400"	"jail_floor_02,sriracha,main_ramp,main_ramp,sriracha"
"Groddlike"	"400"	"tower_platform,banana_ramp,main_ramp,rear_spawn_ramp,long_ramp,healbot_sign"
"The AN1M4L SPLASH"	"400"	"jail_floor_02,main_ramp,main_ramp,t1_ladder"
"The Mug"	"400"	"long_ramp_slant,long_ramp,rear_spawn_ramp,main_ramp,main_ramp,t_spawn"
"Squeeze"	"400"	"jail_floor_02,main_ramp,main_ramp,t_spawn_hole_front,t_spawn_hole_back,hamburger"
"Hard Jail Strafe"	"400"	"jail_floor_02,sriracha,hamburger"
"Cyclone"	"400"	"jail_floor_02,main_ramp,triomino1,under_awp,triomino1"
"Roxy go home"	"400"	"jail_floor_02,main_ramp,main_drag,through_t2_tower,fish_ramp,fish_hook_wedge,middle_wing,through_t2_tower,fish_ramp,fish_hook_wedge,behind_mario_tower,mario_room_teleport"
"Horizon"	"400"	"jail_floor_02,main_ramp,main_ramp,ct_spawn_slant,spawn_roof_platform"
"The Retep from jail floor"	"400"	"jail_floor_02,main_ramp,awp_ramp,tower_sign"
"Banana Gap"	"400"	"jail_floor_02,main_ramp,banana_ramp,elevator_mid_entrance"
"Pro Main Wrap from Jail"	"400"	"jail_floor_02,main_ramp,main_ramp,behind_spawn,main_ramp"
"A shortcut to Falador"	"400"	"jail_floor_02,main_ramp,main_drag,gun_room_ramp,through_t2_tower,awp_platform"
"Pulse"	"400"	"center_wedge_platform,right_wedge,long_ramp,telepad"
"Healbot Return"	"400"	"healbot_sign,healbot_ramp,keith_ramp,kevin_ramp,keith_ramp,healbot_ramp,healbot_sign"
"snurbs revolution"	"400"	"tower_platform,banana_ramp,triomino2,sriracha,section_slant,t2_right_hole"
"Aux2Booster"	"400"	"jail_wall_02,main_ramp,through_t2_front_right,through_t2_back_right,north_east_ramp"
"Rasta Rise"	"400"	"tower_platform,banana_ramp,through_t2_front_left,through_t2_back_left,t2_left_wing,main_ramp,jail_ledge02"
"Vertigo"	"400"	"tower_top,banana_ramp,left_wedge,banana_ramp,t2_left_wing,awp_platform"
"Nifps Walk"	"400"	"center_wedge_platform,main_blunt_ramp,middle_wing,triomino2,triomino1,awp_ramp,behind_t2_tower_wedge"
"Anime Gap"	"400"	"left_wedge_tip,triomino2,triomino2,left_wedge,tower_sign"
"Bashnya Rise"	"400"	"t1_bashnya,hamburger,main_ramp,main_ramp,spawn_roof_water"
"Looper"	"400"	"jail_floor_02,main_ramp,main_blunt_ramp,through_t2_front_left,through_t2_back_left,t2_left_wing"
"x2 Spawn Wrap from spawn "	"400"	"t_spawn,rear_spawn_ramp,behind_main_ramp_trigger,rear_spawn_ramp,behind_main_ramp_trigger,rear_spawn_ramp"
"CriveThereIsYouMind"	"400"	"bonus_cube,ramp_horn,t_spawn_slant,triomino2"
"Butterfly"	"400"	"jail_floor_02,main_ramp,main_ramp,under_lower_boost,side_spawn_lower_platform"
"Recommend me"	"400"	"jail_floor_02,sriracha,triomino2,elevator_mid_entrance"
"Boris Want Fish v2"	"400"	"fish_hook_wedge,fish_hook_wedge,fish_ramp,awp_ramp"
"Tower Slide"	"400"	"tower_middle_plarform,behind_mario_tower,ground_ramp,left_wedge,behind_mario_tower,ground_ramp,left_wedge,tower_sign"
"High Spawn Return"	"400"	"t_spawn,main_ramp,main_ramp,spawn_divide_top"
"Beyblade hard"	"400"	"tower_platform,banana_ramp,awp_platform,t2_left_wing,t2_left_box_2"
"Squishy"	"400"	"nlo_platform,behind_t2_tower_wedge,main_blunt_ramp,triomino2,ground_ramp_reverse,tower_sign"
"HNS Wet Dream"	"400"	"top_floor,spine_ramp_1,spine_ramp_1,top_floor"
"Horizon"	"400"	"strafes_platform,main_ramp,flat_ramp,prison_platform"
"Xristos"	"400"	"turtle_big_floor,turtle_small_ramp_2,turtle_inner_ramp,snorkel_left_ramp,snip_ramp,turtle_inner_ramp,snorkel_right_ramp,turtle_floor"
"Dirtbag"	"400"	"prison_floor,crew_ramp,prison_hole"
"GraphQl"	"400"	"turtle_floor,turtle_aside_ramp,a_ramp,a_ramp,turtle_floor"
"The Tomos"	"400"	"banana_ramp,behind_mario_tower,section_ramp,ramp_horn,tower_top"
"Pro AWP bounce"	"400"	"awp_platform,behind_mario_tower,elevator_mid_entrance"
"Romashka twist"	"400"	"grob_booster,telepad_t2_t1_ramp,telepad_jtct_ramp,t1_right_platform"
"Lamba"	"400"	"turtle_boost,brow_ramp,t2_through,prison_platform"
"Perfect wing"	"425"	"jail_floor_02,main_ramp,t2_left_wing,long_ramp"
"Sticky fish"	"425"	"fish_booster,t2_center_down_ramp,under_blunt,t2_left_window_tip"
"Sweed"	"450"	"jail_floor_02,main_ramp,t2_left_wing,t2_right_wing,main_ramp,spawn_roof_water"
"90210"	"450"	"ski_sign,t2_left_wing,behind_t2_tower_wedge,north_east_booster_platform"
"Sneaky Hamburger"	"450"	"tower_platform,banana_ramp,main_blunt_ramp,rear_spawn_ramp,main_ramp,main_ramp,hamburger"
"Left Right"	"450"	"awp_platform,triomino1,fish_hook_wedge,triomino1,fish_hook_wedge"
"Mason Trip"	"450"	"jail_floor_02,main_ramp,main_drag,through_t2_tower,fish_ramp,fish_hook_wedge,behind_mario_tower,middle_wing,main_blunt_ramp,healbot_sign"
"Reverse Jail Escape"	"450"	"gun_room,gun_room_ramp,through_t2_tower,t2_left_wing,main_ramp,jail_floor_02"
"Nigxu Rise"	"450"	"t_spawn,main_ramp,main_ramp,t1_right_platform"
"Woody"	"450"	"jail_floor_02,main_ramp,t2_left_wing,t2_right_box_2"
"Hard Drop And Rise"	"450"	"diddy_platform,fish_hook_wedge,elevator_mid_tip"
"T2 Cloud"	"450"	"jail_floor_02,main_ramp,awp_ramp,fish_ramp,behind_t2_tower_wedge,t2_right_wing,t2_tower_platform"
"Retro Spawn V2"	"450"	"t_spawn,main_ramp,main_blunt_ramp,main_ramp,ct_spawn_teleporter"
"Banana Return v100"	"450"	"tower_platform,faucet_ramp,faucet_ramp,tower_platform"
"Stretchy"	"450"	"strafes_platform,top_ramp,cage"
"Rollin"	"450"	"pillar_floor,spine_ramp_1,spine_ramp_2,spine_ramp_3,crew_ramp,prison_platform"
"Wranger"	"450"	"grob_booster,behind_main_ramp_trigger,rear_spawn_ramp,t1_middle_hole,t1_middle_ramp_lower,telepad_t2_t1_ramp,main_blunt_ramp,ski_sign"
"Boundry"	"450"	"fish_booster,behind_t2_tower_wedge,under_blunt,t2_center_down_ramp,right_wedge,main_ramp,ring"
"betry hard"	"450"	"grob_booster,t2_big_water_ramp,t2_left_wing,healbot_platform"
"Sonic"	"450"	"turtle_boost,t2_through,prison_platform"
"Trilogy Hole"	"500"	"jail_floor_02,main_ramp,long_ramp,t2_right_hole"
"AWP Rise"	"500"	"center_wedge_platform,main_wings,main_drag,t2_center_platform,through_t2_tower,fish_ramp,awp_platform"
"Double pharm hop"	"500"	"jail_floor_02,main_ramp,main_ramp,t_spawn_water,main_ramp,main_ramp,t_spawn_water,main_ramp"
"Halloween"	"500"	"ct_spawn,main_ramp,ground_teleporter,jail_floor_02,banana_ramp,tower_top"
"Monke flip"	"500"	"telepad_derevo,telepad_derevo,telepad_derevo,telepad_derevo,telepad_box_3,long_ramp"
"Octave"	"500"	"healbot_sign,t2_left_wing,awp_ramp,behind_t2_tower_wedge,t2_right_wing"
"Advanced Centrum"	"500"	"jail_floor_02,main_ramp,t2_left_wing,t2_tower_platform,main_blunt_ramp,ski_sign"
"Orgrimmar"	"500"	"healbot_sign,t2_left_wing,awp_ramp,fish_ramp,behind_t2_tower_wedge,t2_right_wing,main_blunt_ramp,middle_wing,left_wedge,elevator_mid_entrance"
"Aux2Elevator"	"500"	"jail_wall_02,main_ramp,through_t2_front_left,through_t2_back_left,awp_ramp,left_wedge,elevator_mid_entrance"
"Wasp Tuna"	"500"	"behind_t2_tower_wedge_t,behind_t2_tower_wedge,fish_ramp,awp_ramp,triomino1,triomino2,left_wedge"
"Banana Return v2"	"500"	"tower_platform,banana_ramp,section_ramp,banana_ramp,tower_platform"
"Penn Beyblade"	"500"	"tower_platform,banana_ramp,left_wedge,awp_platform,t2_left_wing,t2_left_hole"
"Hard Jail Escape"	"500"	"jail_floor_02,main_ramp,main_drag,gun_room"
"Hard Main to Sign from Jail"	"500"	"jail_floor_02,main_ramp,through_t2_front_right,through_t2_back_right,t2_right_wing,ski_sign"
"Somebody gag KingW"	"500"	"section_ramp_tip,section_ramp,t2_tower_platform"
"Mini Anime Gap"	"500"	"left_wedge_tip,left_wedge,tower_sign"
"Draynor Village"	"500"	"bonus_platform,sriracha,jail_wall_02"
"Facade Step-Up"	"500"	"jail_wall_02,rear_spawn_ramp,main_ramp,through_t2_front_right,through_t2_back_right,behind_t2_tower_wedge,fish_ramp,awp_ramp,t2_left_wing,ski_sign"
"A shortcut to Varrock"	"500"	"jail_floor_02,main_ramp,main_drag,gun_room_ramp,through_t2_tower,reset"
"Pure"	"500"	"long_ramp_slant,long_ramp,rear_spawn_ramp,middle_wing,right_wedge,long_ramp,north_east_booster_platform"
"We love CC"	"500"	"tower_platform,banana_ramp,long_ramp,behind_long_ramp,t2_right_wing,main_ramp,behind_main_ramp_trigger,triomino2,main_blunt_ramp,ski_sign"
"GordanC"	"500"	"jail_box_4,main_ramp,behind_t2_tower_wedge,fish_ramp,awp_ramp,t2_left_wing,t2_tower_platform"
"Twiistedq cant strafe"	"500"	"bonus_platform,rear_spawn_ramp,behind_main_ramp_trigger,main_ramp,tower_run_up_w"
"Da strafes v2"	"500"	"bonus_platform,rear_spawn_ramp,tower_run_up_w"
"Jun glockahashi"	"500"	"spawn_roof_platform,rear_spawn_ramp,under_rear,side_spawn_lower_platform"
"Out of stock"	"500"	"gun_room,gun_room_ramp,through_t2_tower,triomino1,awp_platform"
"Djibril"	"500"	"diddy_platform,fish_hook_wedge,behind_t2_tower_wedge"
"Bullseye"	"500"	"jail_wall_02,main_ramp,main_ramp,ct_spawn_hole_front,ct_spawn_hole_back,behind_spawn,gun_room"
"Hard Sneaky Spawn Roof"	"500"	"tower_platform,banana_ramp,main_blunt_ramp,rear_spawn_ramp,main_ramp,main_ramp,spawn_roof_platform"
"Double Dip"	"500"	"tower_top,banana_ramp,rear_spawn_ramp,sriracha,rear_spawn_ramp,sriracha"
"Visiting my grandmom"	"500"	"long_ramp_slant,kevin_ramp,keith_ramp,healbot_ramp,main_drag,gun_room_ramp,gun_room"
"Aux Trip to the Ocean"	"500"	"jail_wall_02,main_ramp,through_t2_front_left,through_t2_back_left,awp_ramp,main_blunt_ramp,t2_right_wing,t2_left_wing,main_blunt_ramp,telepad"
"Gun High"	"500"	"gun_room,gun_room_ramp,through_t2_tower,awp_ramp,elevator_mid_entrance"
"CC T2-Spin from spawn"	"500"	"t_spawn,main_ramp,main_drag,through_t2_tower,t2_right_wing,through_t2_front_left,through_t2_back_left,t2_left_wing,main_drag,through_t2_tower,t2_right_wing,healbot_platform"
"Anime Gap v2"	"500"	"left_wedge_tip,triomino2,triomino1,triomino2,middle_wing,main_wings"
"Guntower Wrap"	"500"	"gun_room,gun_room_ramp,through_t2_tower,triomino2,behind_mario_tower,triomino2"
"Easy Wet Bread"	"500"	"awp_platform,triomino1,main_blunt_ramp,right_wedge,long_ramp,ct_spawn_teleporter"
"Firestorm"	"500"	"mini_ramp_spine,mini_ramp02,hamburger,jail_side_rail"
"Louie Rise"	"500"	"gun_room,gun_room_ramp,through_t2_tower,fish_ramp,fish_hook_wedge,left_wedge,middle_wing,main_blunt_ramp,starlight"
"Awesome"	"500"	"kevin_ramp_tip,kevin_ramp,keith_ramp,healbot_ramp,healbot_sign"
"Weaver"	"500"	"tower_platform,banana_ramp,long_ramp,awp_platform"
"Nuts"	"500"	"tower_platform,banana_ramp,main_drag,through_t2_tower,fish_ramp,jail_floor_02"
